,country,year,life_expectancy
0,Abkhazia,Unnamed: 0,0.0
1,Afghanistan,Unnamed: 0,1.0
2,Akrotiri and Dhekelia,Unnamed: 0,2.0
3,Albania,Unnamed: 0,3.0
4,Algeria,Unnamed: 0,4.0
5,American Samoa,Unnamed: 0,5.0
6,Andorra,Unnamed: 0,6.0
7,Angola,Unnamed: 0,7.0
8,Anguilla,Unnamed: 0,8.0
9,Antigua and Barbuda,Unnamed: 0,9.0
10,Argentina,Unnamed: 0,10.0
11,Armenia,Unnamed: 0,11.0
12,Aruba,Unnamed: 0,12.0
13,Australia,Unnamed: 0,13.0
14,Austria,Unnamed: 0,14.0
15,Azerbaijan,Unnamed: 0,15.0
16,Bahamas,Unnamed: 0,16.0
17,Bahrain,Unnamed: 0,17.0
18,Bangladesh,Unnamed: 0,18.0
19,Barbados,Unnamed: 0,19.0
20,Belarus,Unnamed: 0,20.0
21,Belgium,Unnamed: 0,21.0
22,Belize,Unnamed: 0,22.0
23,Benin,Unnamed: 0,23.0
24,Bermuda,Unnamed: 0,24.0
25,Bhutan,Unnamed: 0,25.0
26,Bolivia,Unnamed: 0,26.0
27,Bosnia and Herzegovina,Unnamed: 0,27.0
28,Botswana,Unnamed: 0,28.0
29,Brazil,Unnamed: 0,29.0
30,British Virgin Islands,Unnamed: 0,30.0
31,Brunei,Unnamed: 0,31.0
32,Bulgaria,Unnamed: 0,32.0
33,Burkina Faso,Unnamed: 0,33.0
34,Burundi,Unnamed: 0,34.0
35,Cambodia,Unnamed: 0,35.0
36,Cameroon,Unnamed: 0,36.0
37,Canada,Unnamed: 0,37.0
38,Cape Verde,Unnamed: 0,38.0
39,Cayman Islands,Unnamed: 0,39.0
40,Central African Republic,Unnamed: 0,40.0
41,Chad,Unnamed: 0,41.0
42,Channel Islands,Unnamed: 0,42.0
43,Chile,Unnamed: 0,43.0
44,China,Unnamed: 0,44.0
45,Christmas Island,Unnamed: 0,45.0
46,Cocos Island,Unnamed: 0,46.0
47,Colombia,Unnamed: 0,47.0
48,Comoros,Unnamed: 0,48.0
49,"Congo, Dem. Rep.",Unnamed: 0,49.0
50,"Congo, Rep.",Unnamed: 0,50.0
51,Cook Is,Unnamed: 0,51.0
52,Costa Rica,Unnamed: 0,52.0
53,Cote d'Ivoire,Unnamed: 0,53.0
54,Croatia,Unnamed: 0,54.0
55,Cuba,Unnamed: 0,55.0
56,Cyprus,Unnamed: 0,56.0
57,Czech Republic,Unnamed: 0,57.0
58,Czechoslovakia,Unnamed: 0,58.0
59,Denmark,Unnamed: 0,59.0
60,Djibouti,Unnamed: 0,60.0
61,Dominica,Unnamed: 0,61.0
62,Dominican Republic,Unnamed: 0,62.0
63,East Germany,Unnamed: 0,63.0
64,Ecuador,Unnamed: 0,64.0
65,Egypt,Unnamed: 0,65.0
66,El Salvador,Unnamed: 0,66.0
67,Equatorial Guinea,Unnamed: 0,67.0
68,Eritrea,Unnamed: 0,68.0
69,Eritrea and Ethiopia,Unnamed: 0,69.0
70,Estonia,Unnamed: 0,70.0
71,Ethiopia,Unnamed: 0,71.0
72,Faeroe Islands,Unnamed: 0,72.0
73,Falkland Is (Malvinas),Unnamed: 0,73.0
74,Fiji,Unnamed: 0,74.0
75,Finland,Unnamed: 0,75.0
76,France,Unnamed: 0,76.0
77,French Guiana,Unnamed: 0,77.0
78,French Polynesia,Unnamed: 0,78.0
79,Gabon,Unnamed: 0,79.0
80,Gambia,Unnamed: 0,80.0
81,Georgia,Unnamed: 0,81.0
82,Germany,Unnamed: 0,82.0
83,Ghana,Unnamed: 0,83.0
84,Gibraltar,Unnamed: 0,84.0
85,Greece,Unnamed: 0,85.0
86,Greenland,Unnamed: 0,86.0
87,Grenada,Unnamed: 0,87.0
88,Guadeloupe,Unnamed: 0,88.0
89,Guam,Unnamed: 0,89.0
90,Guatemala,Unnamed: 0,90.0
91,Guernsey,Unnamed: 0,91.0
92,Guinea,Unnamed: 0,92.0
93,Guinea-Bissau,Unnamed: 0,93.0
94,Guyana,Unnamed: 0,94.0
95,Haiti,Unnamed: 0,95.0
96,Holy See,Unnamed: 0,96.0
97,Honduras,Unnamed: 0,97.0
98,"Hong Kong, China",Unnamed: 0,98.0
99,Hungary,Unnamed: 0,99.0
100,Iceland,Unnamed: 0,100.0
101,India,Unnamed: 0,101.0
102,Indonesia,Unnamed: 0,102.0
103,Iran,Unnamed: 0,103.0
104,Iraq,Unnamed: 0,104.0
105,Ireland,Unnamed: 0,105.0
106,Isle of Man,Unnamed: 0,106.0
107,Israel,Unnamed: 0,107.0
108,Italy,Unnamed: 0,108.0
109,Jamaica,Unnamed: 0,109.0
110,Japan,Unnamed: 0,110.0
111,Jersey,Unnamed: 0,111.0
112,Jordan,Unnamed: 0,112.0
113,Kazakhstan,Unnamed: 0,113.0
114,Kenya,Unnamed: 0,114.0
115,Kiribati,Unnamed: 0,115.0
116,North Korea,Unnamed: 0,116.0
117,South Korea,Unnamed: 0,117.0
118,"United Korea (former)
",Unnamed: 0,118.0
119,Kosovo,Unnamed: 0,119.0
120,Kuwait,Unnamed: 0,120.0
121,Kyrgyz Republic,Unnamed: 0,121.0
122,Lao,Unnamed: 0,122.0
123,Latvia,Unnamed: 0,123.0
124,Lebanon,Unnamed: 0,124.0
125,Lesotho,Unnamed: 0,125.0
126,Liberia,Unnamed: 0,126.0
127,Libya,Unnamed: 0,127.0
128,Liechtenstein,Unnamed: 0,128.0
129,Lithuania,Unnamed: 0,129.0
130,Luxembourg,Unnamed: 0,130.0
131,"Macao, China",Unnamed: 0,131.0
132,"Macedonia, FYR",Unnamed: 0,132.0
133,Madagascar,Unnamed: 0,133.0
134,Malawi,Unnamed: 0,134.0
135,Malaysia,Unnamed: 0,135.0
136,Maldives,Unnamed: 0,136.0
137,Mali,Unnamed: 0,137.0
138,Malta,Unnamed: 0,138.0
139,Marshall Islands,Unnamed: 0,139.0
140,Martinique,Unnamed: 0,140.0
141,Mauritania,Unnamed: 0,141.0
142,Mauritius,Unnamed: 0,142.0
143,Mayotte,Unnamed: 0,143.0
144,Mexico,Unnamed: 0,144.0
145,"Micronesia, Fed. Sts.",Unnamed: 0,145.0
146,Moldova,Unnamed: 0,146.0
147,Monaco,Unnamed: 0,147.0
148,Mongolia,Unnamed: 0,148.0
149,Montenegro,Unnamed: 0,149.0
150,Montserrat,Unnamed: 0,150.0
151,Morocco,Unnamed: 0,151.0
152,Mozambique,Unnamed: 0,152.0
153,Myanmar,Unnamed: 0,153.0
154,Namibia,Unnamed: 0,154.0
155,Nauru,Unnamed: 0,155.0
156,Nepal,Unnamed: 0,156.0
157,Netherlands,Unnamed: 0,157.0
158,Netherlands Antilles,Unnamed: 0,158.0
159,New Caledonia,Unnamed: 0,159.0
160,New Zealand,Unnamed: 0,160.0
161,Ngorno-Karabakh,Unnamed: 0,161.0
162,Nicaragua,Unnamed: 0,162.0
163,Niger,Unnamed: 0,163.0
164,Nigeria,Unnamed: 0,164.0
165,Niue,Unnamed: 0,165.0
166,Norfolk Island,Unnamed: 0,166.0
167,Northern Cyprus,Unnamed: 0,167.0
168,Northern Mariana Islands,Unnamed: 0,168.0
169,Norway,Unnamed: 0,169.0
170,Oman,Unnamed: 0,170.0
171,Pakistan,Unnamed: 0,171.0
172,Palau,Unnamed: 0,172.0
173,Panama,Unnamed: 0,173.0
174,Papua New Guinea,Unnamed: 0,174.0
175,Paraguay,Unnamed: 0,175.0
176,Peru,Unnamed: 0,176.0
